Id,communality,h_level,n_items,error,e_form,rmsea,rmsea_c,value
1,LOW,1,6,xl,1,0,1,0
2,WIDE,2,6,xl,1,0,1,0
3,HIGH,3,6,xl,1,0,1,0
4,LOW,1,6,xl,1,0.03,2,0.21
5,WIDE,2,6,xl,1,0.03,2,0.14
6,HIGH,3,6,xl,1,0.03,2,0.11
7,LOW,1,6,xl,1,0.09,3,0.88
8,WIDE,2,6,xl,1,0.09,3,0.46
9,HIGH,3,6,xl,1,0.09,3,0.35
10,LOW,1,6,rc,2,0,1,0
11,WIDE,2,6,rc,2,0,1,0
12,HIGH,3,6,rc,2,0,1,0
13,LOW,1,6,rc,2,0.03,2,0.174
14,WIDE,2,6,rc,2,0.03,2,0.187
15,HIGH,3,6,rc,2,0.03,2,0.176
16,LOW,1,6,rc,2,0.09,3,0.461
17,WIDE,2,6,rc,2,0.09,3,0.505
18,HIGH,3,6,rc,2,0.09,3,0.463
