"","PAR","METHOD","NSIZE","COMMUNALITY","SPECIFICATION","MODERROR","est"
"1","a","BS","30","Low","Correct","e=0.09 (XL)",0.224102902289224
"4","a","RS","30","Low","Correct","e=0.09 (XL)",0.346959782159818
"7","a","ILV","30","Low","Correct","e=0.09 (XL)",0.301865396456999
"10","a","SEM","30","Low","Correct","e=0.09 (XL)",0.287480406306147
"13","a","SS","30","Low","Correct","e=0.09 (XL)",0.715904510388804
"16","a","BS","30","Low","Simple","e=0.09 (XL)",0.596879430578662
"19","a","RS","30","Low","Simple","e=0.09 (XL)",0.744420533058432
"22","a","ILV","30","Low","Simple","e=0.09 (XL)",0.693467210115608
"25","a","SEM","30","Low","Simple","e=0.09 (XL)",0.691210797355095
"28","a","SS","30","Low","Simple","e=0.09 (XL)",0.539395893955167
"31","a","BS","60","Low","Correct","e=0.09 (XL)",0.209103137927688
"34","a","RS","60","Low","Correct","e=0.09 (XL)",0.374167648667119
"37","a","ILV","60","Low","Correct","e=0.09 (XL)",0.295565318433792
"40","a","SEM","60","Low","Correct","e=0.09 (XL)",0.293911939183844
"43","a","SS","60","Low","Correct","e=0.09 (XL)",0.705309552703085
"46","a","BS","60","Low","Simple","e=0.09 (XL)",0.616284791963829
"49","a","RS","60","Low","Simple","e=0.09 (XL)",0.810461485894966
"52","a","ILV","60","Low","Simple","e=0.09 (XL)",0.724529282498328
"55","a","SEM","60","Low","Simple","e=0.09 (XL)",0.737164835558972
"58","a","SS","60","Low","Simple","e=0.09 (XL)",0.527423509892492
"61","a","BS","100","Low","Correct","e=0.09 (XL)",0.203485035409054
"64","a","RS","100","Low","Correct","e=0.09 (XL)",0.384633752270112
"67","a","ILV","100","Low","Correct","e=0.09 (XL)",0.294707427368895
"70","a","SEM","100","Low","Correct","e=0.09 (XL)",0.294731831959718
"73","a","SS","100","Low","Correct","e=0.09 (XL)",0.706368958025536
"76","a","BS","100","Low","Simple","e=0.09 (XL)",0.626462342286423
"79","a","RS","100","Low","Simple","e=0.09 (XL)",0.836689795177672
"82","a","ILV","100","Low","Simple","e=0.09 (XL)",0.741935578688729
"85","a","SEM","100","Low","Simple","e=0.09 (XL)",0.753679166617161
"88","a","SS","100","Low","Simple","e=0.09 (XL)",0.528468139035183
"91","a","BS","200","Low","Correct","e=0.09 (XL)",0.202810721735619
"94","a","RS","200","Low","Correct","e=0.09 (XL)",0.391449421906681
"97","a","ILV","200","Low","Correct","e=0.09 (XL)",0.297315730106179
"100","a","SEM","200","Low","Correct","e=0.09 (XL)",0.297444547250372
"103","a","SS","200","Low","Correct","e=0.09 (XL)",0.701518867114201
"106","a","BS","200","Low","Simple","e=0.09 (XL)",0.622322386892362
"109","a","RS","200","Low","Simple","e=0.09 (XL)",0.841168698637788
"112","a","ILV","200","Low","Simple","e=0.09 (XL)",0.746953732646401
"115","a","SEM","200","Low","Simple","e=0.09 (XL)",0.753102833831076
