"","PAR","METHOD","NSIZE","COMMUNALITY","SPECIFICATION","MODERROR","est"
"3","b","BS","30","Low","Correct","e=0.09 (XL)",0.521978715888665
"6","b","RS","30","Low","Correct","e=0.09 (XL)",0.693644443844161
"9","b","ILV","30","Low","Correct","e=0.09 (XL)",0.573485691527642
"12","b","SEM","30","Low","Correct","e=0.09 (XL)",0.62433012910291
"15","b","SS","30","Low","Correct","e=0.09 (XL)",0.652405982145493
"18","b","BS","30","Low","Simple","e=0.09 (XL)",0.397926122224218
"21","b","RS","30","Low","Simple","e=0.09 (XL)",0.381136694708698
"24","b","ILV","30","Low","Simple","e=0.09 (XL)",0.422466347804914
"27","b","SEM","30","Low","Simple","e=0.09 (XL)",0.390697124085201
"30","b","SS","30","Low","Simple","e=0.09 (XL)",0.491277948985465
"33","b","BS","60","Low","Correct","e=0.09 (XL)",0.52939122812467
"36","b","RS","60","Low","Correct","e=0.09 (XL)",0.779369078818605
"39","b","ILV","60","Low","Correct","e=0.09 (XL)",0.649280608917407
"42","b","SEM","60","Low","Correct","e=0.09 (XL)",0.678484123837909
"45","b","SS","60","Low","Correct","e=0.09 (XL)",0.656566152015214
"48","b","BS","60","Low","Simple","e=0.09 (XL)",0.396414705342674
"51","b","RS","60","Low","Simple","e=0.09 (XL)",0.348785442265312
"54","b","ILV","60","Low","Simple","e=0.09 (XL)",0.3898676832389
"57","b","SEM","60","Low","Simple","e=0.09 (XL)",0.379961573710753
"60","b","SS","60","Low","Simple","e=0.09 (XL)",0.481358994677974
"63","b","BS","100","Low","Correct","e=0.09 (XL)",0.533527608329257
"66","b","RS","100","Low","Correct","e=0.09 (XL)",0.809517317433252
"69","b","ILV","100","Low","Correct","e=0.09 (XL)",0.678651928127939
"72","b","SEM","100","Low","Correct","e=0.09 (XL)",0.694094716115467
"75","b","SS","100","Low","Correct","e=0.09 (XL)",0.664365129979039
"78","b","BS","100","Low","Simple","e=0.09 (XL)",0.405962834319156
"81","b","RS","100","Low","Simple","e=0.09 (XL)",0.359771847092971
"84","b","ILV","100","Low","Simple","e=0.09 (XL)",0.388068797024484
"87","b","SEM","100","Low","Simple","e=0.09 (XL)",0.381711500057241
"90","b","SS","100","Low","Simple","e=0.09 (XL)",0.484365655321273
"93","b","BS","200","Low","Correct","e=0.09 (XL)",0.530834583740283
"96","b","RS","200","Low","Correct","e=0.09 (XL)",0.823917340763692
"99","b","ILV","200","Low","Correct","e=0.09 (XL)",0.696249687392106
"102","b","SEM","200","Low","Correct","e=0.09 (XL)",0.702477856853766
"105","b","SS","200","Low","Correct","e=0.09 (XL)",0.669461616044857
"108","b","BS","200","Low","Simple","e=0.09 (XL)",0.403174853947485
"111","b","RS","200","Low","Simple","e=0.09 (XL)",0.352223804901894
"114","b","ILV","200","Low","Simple","e=0.09 (XL)",0.379013434302344
"117","b","SEM","200","Low","Simple","e=0.09 (XL)",0.375300268071895
"120","b","SS","200","Low","Simple","e=0.09 (XL)",0.487100802164497
"123","b","BS","300","Low","Correct","e=0.09 (XL)",0.524973545573954
"126","b","RS","300","Low","Correct","e=0.09 (XL)",0.822405963374452
"129","b","ILV","300","Low","Correct","e=0.09 (XL)",0.694860958387187
"132","b","SEM","300","Low","Correct","e=0.09 (XL)",0.699051580237847
"135","b","SS","300","Low","Correct","e=0.09 (XL)",0.667639810392868
"138","b","BS","300","Low","Simple","e=0.09 (XL)",0.399501731639174
"141","b","RS","300","Low","Simple","e=0.09 (XL)",0.342765508421818
