"","PAR","METHOD","NSIZE","COMMUNALITY","SPECIFICATION","MODERROR","est"
"2","c","BS","30","Low","Correct","e=0.09 (XL)",0.0457612175630041
"5","c","RS","30","Low","Correct","e=0.09 (XL)",0.0263633347715162
"8","c","ILV","30","Low","Correct","e=0.09 (XL)",0.0805819417336398
"11","c","SEM","30","Low","Correct","e=0.09 (XL)",0.0360083358308317
"14","c","SS","30","Low","Correct","e=0.09 (XL)",0.255922007688971
"17","c","BS","30","Low","Simple","e=0.09 (XL)",0.411922095871646
"20","c","RS","30","Low","Simple","e=0.09 (XL)",0.519752338379261
"23","c","ILV","30","Low","Simple","e=0.09 (XL)",0.469454112033699
"26","c","SEM","30","Low","Simple","e=0.09 (XL)",0.473534453330025
"29","c","SS","30","Low","Simple","e=0.09 (XL)",0.364795240552649
"32","c","BS","60","Low","Correct","e=0.09 (XL)",0.0240007624350035
"35","c","RS","60","Low","Correct","e=0.09 (XL)",-0.0166900599907206
"38","c","ILV","60","Low","Correct","e=0.09 (XL)",0.0285853375429346
"41","c","SEM","60","Low","Correct","e=0.09 (XL)",0.00614369489734509
"44","c","SS","60","Low","Correct","e=0.09 (XL)",0.247941099242923
"47","c","BS","60","Low","Simple","e=0.09 (XL)",0.445774608231996
"50","c","RS","60","Low","Simple","e=0.09 (XL)",0.602155990690283
"53","c","ILV","60","Low","Simple","e=0.09 (XL)",0.537409689968892
"56","c","SEM","60","Low","Simple","e=0.09 (XL)",0.560199216284671
"59","c","SS","60","Low","Simple","e=0.09 (XL)",0.362609638896809
"62","c","BS","100","Low","Correct","e=0.09 (XL)",0.0276135433873411
"65","c","RS","100","Low","Correct","e=0.09 (XL)",-0.0214919424865855
"68","c","ILV","100","Low","Correct","e=0.09 (XL)",0.0181017559814187
"71","c","SEM","100","Low","Correct","e=0.09 (XL)",0.00566387815485761
"74","c","SS","100","Low","Correct","e=0.09 (XL)",0.244086747573512
"77","c","BS","100","Low","Simple","e=0.09 (XL)",0.46596050392235
"80","c","RS","100","Low","Simple","e=0.09 (XL)",0.629242411098567
"83","c","ILV","100","Low","Simple","e=0.09 (XL)",0.562464177882076
"86","c","SEM","100","Low","Simple","e=0.09 (XL)",0.58513713296228
"89","c","SS","100","Low","Simple","e=0.09 (XL)",0.366961970261395
"92","c","BS","200","Low","Correct","e=0.09 (XL)",0.0220628035194437
"95","c","RS","200","Low","Correct","e=0.09 (XL)",-0.0314289343961571
"98","c","ILV","200","Low","Correct","e=0.09 (XL)",0.00348137826193096
"101","c","SEM","200","Low","Correct","e=0.09 (XL)",-0.00230634137881033
"104","c","SS","200","Low","Correct","e=0.09 (XL)",0.238738404795176
"107","c","BS","200","Low","Simple","e=0.09 (XL)",0.478782252289435
"110","c","RS","200","Low","Simple","e=0.09 (XL)",0.652821152218719
"113","c","ILV","200","Low","Simple","e=0.09 (XL)",0.589590754756212
"116","c","SEM","200","Low","Simple","e=0.09 (XL)",0.601419291403374
"119","c","SS","200","Low","Simple","e=0.09 (XL)",0.365001083100734
"122","c","BS","300","Low","Correct","e=0.09 (XL)",0.0235495078343693
"125","c","RS","300","Low","Correct","e=0.09 (XL)",-0.0291960369361407
"128","c","ILV","300","Low","Correct","e=0.09 (XL)",0.00403991187670311
"131","c","SEM","300","Low","Correct","e=0.09 (XL)",-0.000160928981000742
"134","c","SS","300","Low","Correct","e=0.09 (XL)",0.240364375101576
"137","c","BS","300","Low","Simple","e=0.09 (XL)",0.481338916259576
"140","c","RS","300","Low","Simple","e=0.09 (XL)",0.663292224554125
"143","c","ILV","300","Low","Simple","e=0.09 (XL)",0.601594924037027
"146","c","SEM","300","Low","Simple","e=0.09 (XL)",0.608125637372933
"149","c","SS","300","Low","Simple","e=0.09 (XL)",0.365946492178736
"152","c","BS","400","Low","Correct","e=0.09 (XL)",0.0228089069444257
"155","c","RS","400","Low","Correct","e=0.09 (XL)",-0.0311376617858541
"158","c","ILV","400","Low","Correct","e=0.09 (XL)",0.00169491984457992
"161","c","SEM","400","Low","Correct","e=0.09 (XL)",-0.00143728184836978
"164","c","SS","400","Low","Correct","e=0.09 (XL)",0.239945806541765
"167","c","BS","400","Low","Simple","e=0.09 (XL)",0.480076460249594
"170","c","RS","400","Low","Simple","e=0.09 (XL)",0.660860265768313
"173","c","ILV","400","Low","Simple","e=0.09 (XL)",0.601135245484782
"176","c","SEM","400","Low","Simple","e=0.09 (XL)",0.605514574286464
"179","c","SS","400","Low","Simple","e=0.09 (XL)",0.365037649711533
"182","c","BS","30","Low","Correct","e=0.03 (XL)",0.0363567215591458
"185","c","RS","30","Low","Correct","e=0.03 (XL)",-0.0172008123510741
"188","c","ILV","30","Low","Correct","e=0.03 (XL)",0.054452229117071
"191","c","SEM","30","Low","Correct","e=0.03 (XL)",0.0127426547775432
"194","c","SS","30","Low","Correct","e=0.03 (XL)",0.14003494701735
"197","c","BS","30","Low","Simple","e=0.03 (XL)",0.130011520148341
"200","c","RS","30","Low","Simple","e=0.03 (XL)",0.0662059224260955
"203","c","ILV","30","Low","Simple","e=0.03 (XL)",0.11841798597896
"206","c","SEM","30","Low","Simple","e=0.03 (XL)",0.0958497408242566
"209","c","SS","30","Low","Simple","e=0.03 (XL)",0.13098496809762
"212","c","BS","60","Low","Correct","e=0.03 (XL)",0.0249601779469986
"215","c","RS","60","Low","Correct","e=0.03 (XL)",-0.028060444390441
"218","c","ILV","60","Low","Correct","e=0.03 (XL)",0.0277751272174938
"221","c","SEM","60","Low","Correct","e=0.03 (XL)",-0.00184729752336228
"224","c","SS","60","Low","Correct","e=0.03 (XL)",0.138769277588685
"227","c","BS","60","Low","Simple","e=0.03 (XL)",0.134745240142283
"230","c","RS","60","Low","Simple","e=0.03 (XL)",0.0741428905488465
"233","c","ILV","60","Low","Simple","e=0.03 (XL)",0.111384568068494
"236","c","SEM","60","Low","Simple","e=0.03 (XL)",0.101995372891914
"239","c","SS","60","Low","Simple","e=0.03 (XL)",0.128294711541493
"242","c","BS","100","Low","Correct","e=0.03 (XL)",0.024457195271489
"245","c","RS","100","Low","Correct","e=0.03 (XL)",-0.0414589045372866
"248","c","ILV","100","Low","Correct","e=0.03 (XL)",0.011624909069519
"251","c","SEM","100","Low","Correct","e=0.03 (XL)",-0.00820491841435711
"254","c","SS","100","Low","Correct","e=0.03 (XL)",0.139792657999992
"257","c","BS","100","Low","Simple","e=0.03 (XL)",0.135219087010702
"260","c","RS","100","Low","Simple","e=0.03 (XL)",0.0700435164655066
"263","c","ILV","100","Low","Simple","e=0.03 (XL)",0.106447096550598
"266","c","SEM","100","Low","Simple","e=0.03 (XL)",0.0996079509005471
"269","c","SS","100","Low","Simple","e=0.03 (XL)",0.129654691903666
"272","c","BS","200","Low","Correct","e=0.03 (XL)",0.0320484757406728
"275","c","RS","200","Low","Correct","e=0.03 (XL)",-0.0355255963944276
"278","c","ILV","200","Low","Correct","e=0.03 (XL)",0.00875263613155588
"281","c","SEM","200","Low","Correct","e=0.03 (XL)",-0.000313679038173153
"284","c","SS","200","Low","Correct","e=0.03 (XL)",0.140312922407502
"287","c","BS","200","Low","Simple","e=0.03 (XL)",0.138220681629544
"290","c","RS","200","Low","Simple","e=0.03 (XL)",0.0786487307256127
"293","c","ILV","200","Low","Simple","e=0.03 (XL)",0.108678918699468
"296","c","SEM","200","Low","Simple","e=0.03 (XL)",0.107451138940079
"299","c","SS","200","Low","Simple","e=0.03 (XL)",0.133951312285247
"302","c","BS","300","Low","Correct","e=0.03 (XL)",0.0344589453344098
"305","c","RS","300","Low","Correct","e=0.03 (XL)",-0.0336894521343089
"308","c","ILV","300","Low","Correct","e=0.03 (XL)",0.00803498757706363
"311","c","SEM","300","Low","Correct","e=0.03 (XL)",0.00222013969387614
"314","c","SS","300","Low","Correct","e=0.03 (XL)",0.14185296287341
"317","c","BS","300","Low","Simple","e=0.03 (XL)",0.138873673253925
"320","c","RS","300","Low","Simple","e=0.03 (XL)",0.0796553137117557
"323","c","ILV","300","Low","Simple","e=0.03 (XL)",0.110069619078286
"326","c","SEM","300","Low","Simple","e=0.03 (XL)",0.108835562952232
"329","c","SS","300","Low","Simple","e=0.03 (XL)",0.133889245566439
"332","c","BS","400","Low","Correct","e=0.03 (XL)",0.0335499660718995
"335","c","RS","400","Low","Correct","e=0.03 (XL)",-0.0363124328014489
"338","c","ILV","400","Low","Correct","e=0.03 (XL)",0.0045118575576031
"341","c","SEM","400","Low","Correct","e=0.03 (XL)",0.000461365935457491
"344","c","SS","400","Low","Correct","e=0.03 (XL)",0.141518576442754
"347","c","BS","400","Low","Simple","e=0.03 (XL)",0.13844186781727
"350","c","RS","400","Low","Simple","e=0.03 (XL)",0.0791575479759836
"353","c","ILV","400","Low","Simple","e=0.03 (XL)",0.109228384573816
"356","c","SEM","400","Low","Simple","e=0.03 (XL)",0.108529357369084
"359","c","SS","400","Low","Simple","e=0.03 (XL)",0.133655558198856
"362","c","BS","30","Low","Correct","e=0",0.0435446569800884
"365","c","RS","30","Low","Correct","e=0",-0.0370789472622568
"368","c","ILV","30","Low","Correct","e=0",0.0301345789143043
"371","c","SEM","30","Low","Correct","e=0",-0.00547679983341983
"374","c","SS","30","Low","Correct","e=0",0.0515936784102041
"377","c","BS","30","Low","Simple","e=0",0.0435446569800884
"380","c","RS","30","Low","Simple","e=0",-0.0370789472622568
"383","c","ILV","30","Low","Simple","e=0",0.0301345789143043
"386","c","SEM","30","Low","Simple","e=0",-0.00547679983341983
"389","c","SS","30","Low","Simple","e=0",0.0515936784102041
"392","c","BS","60","Low","Correct","e=0",0.0432989233426816
"395","c","RS","60","Low","Correct","e=0",-0.040790226671456
"398","c","ILV","60","Low","Correct","e=0",0.0144961862298844
"401","c","SEM","60","Low","Correct","e=0",-0.00280288351417439
"404","c","SS","60","Low","Correct","e=0",0.0472431716754688
"407","c","BS","60","Low","Simple","e=0",0.0432989233426816
"410","c","RS","60","Low","Simple","e=0",-0.040790226671456
"413","c","ILV","60","Low","Simple","e=0",0.0144961862298844
"416","c","SEM","60","Low","Simple","e=0",-0.00280288351417439
"419","c","SS","60","Low","Simple","e=0",0.0472431716754688
"422","c","BS","100","Low","Correct","e=0",0.043092917623402
"425","c","RS","100","Low","Correct","e=0",-0.0419602041215606
"428","c","ILV","100","Low","Correct","e=0",0.00466688502339167
"431","c","SEM","100","Low","Correct","e=0",-0.00280186918229678
"434","c","SS","100","Low","Correct","e=0",0.0463258941306876
"437","c","BS","100","Low","Simple","e=0",0.043092917623402
"440","c","RS","100","Low","Simple","e=0",-0.0419602041215606
"443","c","ILV","100","Low","Simple","e=0",0.00466688502339167
"446","c","SEM","100","Low","Simple","e=0",-0.00280186918229678
"449","c","SS","100","Low","Simple","e=0",0.0463258941306876
"452","c","BS","200","Low","Correct","e=0",0.0441562583321492
"455","c","RS","200","Low","Correct","e=0",-0.039920123102713
"458","c","ILV","200","Low","Correct","e=0",0.00331919651612426
"461","c","SEM","200","Low","Correct","e=0",-1.16325930021261e-05
"464","c","SS","200","Low","Correct","e=0",0.0455598333673788
"467","c","BS","200","Low","Simple","e=0",0.0441562583321492
"470","c","RS","200","Low","Simple","e=0",-0.039920123102713
"473","c","ILV","200","Low","Simple","e=0",0.00331919651612426
"476","c","SEM","200","Low","Simple","e=0",-1.16325930021261e-05
"479","c","SS","200","Low","Simple","e=0",0.0455598333673788
"482","c","BS","300","Low","Correct","e=0",0.0436464463943067
"485","c","RS","300","Low","Correct","e=0",-0.0402449574033505
"488","c","ILV","300","Low","Correct","e=0",0.00191937902298145
"491","c","SEM","300","Low","Correct","e=0",-8.27475445296063e-05
"494","c","SS","300","Low","Correct","e=0",0.0449144648066213
"497","c","BS","300","Low","Simple","e=0",0.0436464463943067
"500","c","RS","300","Low","Simple","e=0",-0.0402449574033505
"503","c","ILV","300","Low","Simple","e=0",0.00191937902298145
"506","c","SEM","300","Low","Simple","e=0",-8.27475445296063e-05
"509","c","SS","300","Low","Simple","e=0",0.0449144648066213
"512","c","BS","400","Low","Correct","e=0",0.0434509161114429
"515","c","RS","400","Low","Correct","e=0",-0.041013522273787
"518","c","ILV","400","Low","Correct","e=0",0.000609161470720292
"521","c","SEM","400","Low","Correct","e=0",-0.000453430542504656
"524","c","SS","400","Low","Correct","e=0",0.0447751480473741
"527","c","BS","400","Low","Simple","e=0",0.0434509161114429
"530","c","RS","400","Low","Simple","e=0",-0.041013522273787
"533","c","ILV","400","Low","Simple","e=0",0.000609161470720292
"536","c","SEM","400","Low","Simple","e=0",-0.000453430542504656
"539","c","SS","400","Low","Simple","e=0",0.0447751480473741
"542","c","BS","30","Low","Correct","e=0.03 (RC)",0.071023875581438
"545","c","RS","30","Low","Correct","e=0.03 (RC)",0.00515729548058859
"548","c","ILV","30","Low","Correct","e=0.03 (RC)",0.0571933975272221
"551","c","SEM","30","Low","Correct","e=0.03 (RC)",0.033947576515579
"554","c","SS","30","Low","Correct","e=0.03 (RC)",0.0723490394988437
"557","c","BS","30","Low","Simple","e=0.03 (RC)",0.0671652922360179
"560","c","RS","30","Low","Simple","e=0.03 (RC)",0.0156793504142793
"563","c","ILV","30","Low","Simple","e=0.03 (RC)",0.0515372032335551
"566","c","SEM","30","Low","Simple","e=0.03 (RC)",0.0385145900541407
"569","c","SS","30","Low","Simple","e=0.03 (RC)",0.0723490394988437
"572","c","BS","60","Low","Correct","e=0.03 (RC)",0.0456768668459194
"575","c","RS","60","Low","Correct","e=0.03 (RC)",-0.046497936186643
"578","c","ILV","60","Low","Correct","e=0.03 (RC)",0.0174309613183665
"581","c","SEM","60","Low","Correct","e=0.03 (RC)",-0.00677591880673827
"584","c","SS","60","Low","Correct","e=0.03 (RC)",0.0480730705106054
"587","c","BS","60","Low","Simple","e=0.03 (RC)",0.0452073181460678
"590","c","RS","60","Low","Simple","e=0.03 (RC)",-0.0225664535691632
"593","c","ILV","60","Low","Simple","e=0.03 (RC)",0.0185199212473702
"596","c","SEM","60","Low","Simple","e=0.03 (RC)",0.009529749690119
"599","c","SS","60","Low","Simple","e=0.03 (RC)",0.0480730705106054
"602","c","BS","100","Low","Correct","e=0.03 (RC)",0.0420523038276098
"605","c","RS","100","Low","Correct","e=0.03 (RC)",-0.0484374991487405
"608","c","ILV","100","Low","Correct","e=0.03 (RC)",0.00410571080044882
"611","c","SEM","100","Low","Correct","e=0.03 (RC)",-0.00726201461156861
"614","c","SS","100","Low","Correct","e=0.03 (RC)",0.0450146782097023
"617","c","BS","100","Low","Simple","e=0.03 (RC)",0.0423690183571716
"620","c","RS","100","Low","Simple","e=0.03 (RC)",-0.0237492940364184
"623","c","ILV","100","Low","Simple","e=0.03 (RC)",0.0132479313665326
"626","c","SEM","100","Low","Simple","e=0.03 (RC)",0.00868319211619375
"629","c","SS","100","Low","Simple","e=0.03 (RC)",0.0450146782097023
"632","c","BS","200","Low","Correct","e=0.03 (RC)",0.0455274689183682
"635","c","RS","200","Low","Correct","e=0.03 (RC)",-0.0431290014605076
"638","c","ILV","200","Low","Correct","e=0.03 (RC)",0.00304741103440513
"641","c","SEM","200","Low","Correct","e=0.03 (RC)",-0.00127370333937134
"644","c","SS","200","Low","Correct","e=0.03 (RC)",0.0467343877056242
"647","c","BS","200","Low","Simple","e=0.03 (RC)",0.0457887068491343
"650","c","RS","200","Low","Simple","e=0.03 (RC)",-0.0189840177767112
"653","c","ILV","200","Low","Simple","e=0.03 (RC)",0.0150572154679382
"656","c","SEM","200","Low","Simple","e=0.03 (RC)",0.0134705134010627
"659","c","SS","200","Low","Simple","e=0.03 (RC)",0.0467343877056242
"662","c","BS","300","Low","Correct","e=0.03 (RC)",0.045566867450159
"665","c","RS","300","Low","Correct","e=0.03 (RC)",-0.0444579305021421
"668","c","ILV","300","Low","Correct","e=0.03 (RC)",0.00176222869904982
"671","c","SEM","300","Low","Correct","e=0.03 (RC)",-0.00137388790655643
"674","c","SS","300","Low","Correct","e=0.03 (RC)",0.0465052738009845
"677","c","BS","300","Low","Simple","e=0.03 (RC)",0.0458342096891731
"680","c","RS","300","Low","Simple","e=0.03 (RC)",-0.0199869947112112
"683","c","ILV","300","Low","Simple","e=0.03 (RC)",0.0146496417085214
"686","c","SEM","300","Low","Simple","e=0.03 (RC)",0.0132017434634038
"689","c","SS","300","Low","Simple","e=0.03 (RC)",0.0465052738009845
"692","c","BS","400","Low","Correct","e=0.03 (RC)",0.043684062336854
"695","c","RS","400","Low","Correct","e=0.03 (RC)",-0.0455208838808518
"698","c","ILV","400","Low","Correct","e=0.03 (RC)",-0.000806093524358414
"701","c","SEM","400","Low","Correct","e=0.03 (RC)",-0.00289038864031085
"704","c","SS","400","Low","Correct","e=0.03 (RC)",0.0449754617173315
"707","c","BS","400","Low","Simple","e=0.03 (RC)",0.0440952907978381
"710","c","RS","400","Low","Simple","e=0.03 (RC)",-0.0212989282053508
"713","c","ILV","400","Low","Simple","e=0.03 (RC)",0.0126802834419301
"716","c","SEM","400","Low","Simple","e=0.03 (RC)",0.0116096431797885
"719","c","SS","400","Low","Simple","e=0.03 (RC)",0.0449754617173315
"722","c","BS","30","Low","Correct","e=0.09 (RC)",0.0436039666370778
"725","c","RS","30","Low","Correct","e=0.09 (RC)",-0.0585224607266832
"728","c","ILV","30","Low","Correct","e=0.09 (RC)",0.0330071846972277
"731","c","SEM","30","Low","Correct","e=0.09 (RC)",-0.00866100738746608
"734","c","SS","30","Low","Correct","e=0.09 (RC)",0.045464431896948
"737","c","BS","30","Low","Simple","e=0.09 (RC)",0.0474067187752163
"740","c","RS","30","Low","Simple","e=0.09 (RC)",-0.00311379579180665
"743","c","ILV","30","Low","Simple","e=0.09 (RC)",0.0355635690302695
"746","c","SEM","30","Low","Simple","e=0.09 (RC)",0.0260039366320296
