"","PAR","METHOD","NSIZE","COMMUNALITY","SPECIFICATION","MODERROR","est"
"1","a","BS","30","Low","Correct","e=0.09 (XL)",0.224102902289224
"2","c","BS","30","Low","Correct","e=0.09 (XL)",0.0457612175630041
"3","b","BS","30","Low","Correct","e=0.09 (XL)",0.521978715888665
"4","a","RS","30","Low","Correct","e=0.09 (XL)",0.346959782159818
"5","c","RS","30","Low","Correct","e=0.09 (XL)",0.0263633347715162
"6","b","RS","30","Low","Correct","e=0.09 (XL)",0.693644443844161
"7","a","ILV","30","Low","Correct","e=0.09 (XL)",0.301865396456999
"8","c","ILV","30","Low","Correct","e=0.09 (XL)",0.0805819417336398
"9","b","ILV","30","Low","Correct","e=0.09 (XL)",0.573485691527642
"10","a","SEM","30","Low","Correct","e=0.09 (XL)",0.287480406306147
"11","c","SEM","30","Low","Correct","e=0.09 (XL)",0.0360083358308317
"12","b","SEM","30","Low","Correct","e=0.09 (XL)",0.62433012910291
"13","a","SS","30","Low","Correct","e=0.09 (XL)",0.715904510388804
"14","c","SS","30","Low","Correct","e=0.09 (XL)",0.255922007688971
"15","b","SS","30","Low","Correct","e=0.09 (XL)",0.652405982145493
"16","a","BS","30","Low","Simple","e=0.09 (XL)",0.596879430578662
"17","c","BS","30","Low","Simple","e=0.09 (XL)",0.411922095871646
"18","b","BS","30","Low","Simple","e=0.09 (XL)",0.397926122224218
"19","a","RS","30","Low","Simple","e=0.09 (XL)",0.744420533058432
"20","c","RS","30","Low","Simple","e=0.09 (XL)",0.519752338379261
"21","b","RS","30","Low","Simple","e=0.09 (XL)",0.381136694708698
"22","a","ILV","30","Low","Simple","e=0.09 (XL)",0.693467210115608
"23","c","ILV","30","Low","Simple","e=0.09 (XL)",0.469454112033699
"24","b","ILV","30","Low","Simple","e=0.09 (XL)",0.422466347804914
"25","a","SEM","30","Low","Simple","e=0.09 (XL)",0.691210797355095
"26","c","SEM","30","Low","Simple","e=0.09 (XL)",0.473534453330025
"27","b","SEM","30","Low","Simple","e=0.09 (XL)",0.390697124085201
"28","a","SS","30","Low","Simple","e=0.09 (XL)",0.539395893955167
"29","c","SS","30","Low","Simple","e=0.09 (XL)",0.364795240552649
"30","b","SS","30","Low","Simple","e=0.09 (XL)",0.491277948985465
"31","a","BS","60","Low","Correct","e=0.09 (XL)",0.209103137927688
"32","c","BS","60","Low","Correct","e=0.09 (XL)",0.0240007624350035
"33","b","BS","60","Low","Correct","e=0.09 (XL)",0.52939122812467
"34","a","RS","60","Low","Correct","e=0.09 (XL)",0.374167648667119
"35","c","RS","60","Low","Correct","e=0.09 (XL)",-0.0166900599907206
"36","b","RS","60","Low","Correct","e=0.09 (XL)",0.779369078818605
"37","a","ILV","60","Low","Correct","e=0.09 (XL)",0.295565318433792
"38","c","ILV","60","Low","Correct","e=0.09 (XL)",0.0285853375429346
"39","b","ILV","60","Low","Correct","e=0.09 (XL)",0.649280608917407
"40","a","SEM","60","Low","Correct","e=0.09 (XL)",0.293911939183844
"41","c","SEM","60","Low","Correct","e=0.09 (XL)",0.00614369489734509
"42","b","SEM","60","Low","Correct","e=0.09 (XL)",0.678484123837909
"43","a","SS","60","Low","Correct","e=0.09 (XL)",0.705309552703085
"44","c","SS","60","Low","Correct","e=0.09 (XL)",0.247941099242923
"45","b","SS","60","Low","Correct","e=0.09 (XL)",0.656566152015214
"46","a","BS","60","Low","Simple","e=0.09 (XL)",0.616284791963829
"47","c","BS","60","Low","Simple","e=0.09 (XL)",0.445774608231996
"48","b","BS","60","Low","Simple","e=0.09 (XL)",0.396414705342674
"49","a","RS","60","Low","Simple","e=0.09 (XL)",0.810461485894966
"50","c","RS","60","Low","Simple","e=0.09 (XL)",0.602155990690283
"51","b","RS","60","Low","Simple","e=0.09 (XL)",0.348785442265312
